text,updateDt,video_id,remove_emoji,source,translated,remove_stopword,lemmatization
"1. How is that a disrespect towards Sejeong? That was the same as the world cup Korean love to play, except she had to choose by putting drinks in the guy she liked.
2. Rather than said this was lies, what other members told him was for him to be careful in making friends since not all of them befriend him to really want to be friend with him.
3. You made a vid based on variety shows where celebrities 'acted' like they were in variety shows. Nice job there. - pls read in sarcastic mode -",2019-11-15 00:00:00+00:00,R0aXXFE-7ZE,"1. How is that a disrespect towards Sejeong? That was the same as the world cup Korean love to play, except she had to choose by putting drinks in the guy she liked.
2. Rather than said this was lies, what other members told him was for him to be careful in making friends since not all of them befriend him to really want to be friend with him.
3. You made a vid based on variety shows where celebrities 'acted' like they were in variety shows. Nice job there. - pls read in sarcastic mode -",en,"1. How is that a disrespect towards Sejeong? That was the same as the world cup Korean love to play, except she had to choose by putting drinks in the guy she liked.
2. Rather than said this was lies, what other members told him was for him to be careful in making friends since not all of them befriend him to really want to be friend with him.
3. You made a vid based on variety shows where celebrities 'acted' like they were in variety shows. Nice job there. - pls read in sarcastic mode -","1 . How disrespect towards Sejeong ? That world cup Korean love play , except choose putting drinks guy liked . 2 . Rather said lies , members told careful making friends since befriend really want friend . 3 . You made vid based variety shows celebrities 'acted ' like variety shows . Nice job . - pls read sarcastic mode -","1 . how disrespect towards Sejeong ? that world cup korean love play , except choose put drink guy like . 2 . rather say lie , member tell careful make friend since befriend really want friend . 3 . you make vid base variety show celebrity ' act ' like variety show . nice job . - pls read sarcastic mode -"
"Làm nhục coi phụ nữ như công cụ thỏa mạn ,  phạm tội đồi bại thủ đoạn hèn hạ  bệnh hoạn vậy mà cũng có đứa bệnh vực an ủi sao ko nghĩ cho nạn nhân  tôi nghiệp  biết mấy .",2020-12-01 00:00:00+00:00,jfbzM1mwG98,"Làm nhục coi phụ nữ như công cụ thỏa mạn ,  phạm tội đồi bại thủ đoạn hèn hạ  bệnh hoạn vậy mà cũng có đứa bệnh vực an ủi sao ko nghĩ cho nạn nhân  tôi nghiệp  biết mấy .",en,"Làm nhục coi phụ nữ như công cụ thỏa mạn ,  phạm tội đồi bại thủ đoạn hèn hạ  bệnh hoạn vậy mà cũng có đứa bệnh vực an ủi sao ko nghĩ cho nạn nhân  tôi nghiệp  biết mấy .","Làm nhục coi phụ nữ như công cụ thỏa mạn , phạm tội đồi bại thủ đoạn hèn hạ bệnh hoạn vậy mà cũng có đứa bệnh vực ủi sao ko nghĩ cho nạn nhân tôi nghiệp biết mấy .","Làm nhục coi phụ nữ như công cụ thỏa mạn , phạm tội đồi bại thủ đoạn hèn hạ bệnh hoạn vậy mà cũng có đứa bệnh vực ủi sao ko nghĩ cho nạn nhân tôi nghiệp biết mấy ."
"This is what they should call ""National Embarrassment"" not Karina's apology for dating",2024-05-22 00:00:00+00:00,9EEp1q_iMYc,"This is what they should call ""National Embarrassment"" not Karina's apology for dating",en,"This is what they should call ""National Embarrassment"" not Karina's apology for dating",This call `` National Embarrassment '' Karina 's apology dating,this call ` ` National Embarrassment '' Karina 's apology date
I'm feel very sad l just know BTS for 30 days I think they are only seven members but l don't know about this they all are very inspired to me I'm from india a small tow from andhrapradesh here is also a lot of love for you can anyone tell me how can I know updates of BTS members please,2023-07-18 00:00:00+00:00,2hII7n5k7p0,I'm feel very sad l just know BTS for 30 days I think they are only seven members but l don't know about this they all are very inspired to me I'm from india a small tow from andhrapradesh here is also a lot of love for you can anyone tell me how can I know updates of BTS members please,en,I'm feel very sad l just know BTS for 30 days I think they are only seven members but l don't know about this they all are very inspired to me I'm from india a small tow from andhrapradesh here is also a lot of love for you can anyone tell me how can I know updates of BTS members please,I 'm feel sad l know BTS 30 days I think seven members l n't know inspired I 'm india small tow andhrapradesh also lot love anyone tell I know updates BTS members please,I ' m feel sad l know BTS 30 day I think seven member l not know inspire I ' m india small tow andhrapradesh also lot love anyone tell I know update BTS member please
This didn’t age well😂,2019-08-30 00:00:00+00:00,YZqxolXNC2k,This didn’t age well,en,This didn’t age well,This ’ age well,this ' age well
"canal perfeito demais pqp 
amo vcs",2019-03-13 00:00:00+00:00,HeOACvAxeZs,"canal perfeito demais pqp 
amo vcs",pt,"perfect channel too pqp
i love vcs",perfect channel pqp love vcs,perfect channel pqp love vcs
โทษน้อยนิดถ้าเทียบกับความผิดที่ก่อ​ ติดคุกออกมากันหมดแล้ว​ เหยื่อจะอยู่ยังไง,2024-05-22 00:00:00+00:00,Yw76Gn10POU,โทษน้อยนิดถ้าเทียบกับความผิดที่ก่อ​ ติดคุกออกมากันหมดแล้ว​ เหยื่อจะอยู่ยังไง,th,"I'm sorry. Compared to the crime, they're all in jail. So, how do the victims live","I 'm sorry . Compared crime , 're jail . So , victims live","I ' m sorry . compare crime , be jail . so , victim live"
"Terimakasih bang,udah di bahas mesti selalu jelasin ke netijen yg udah kemakan hoax ttg kasus seungri",2020-08-08 00:00:00+00:00,0WnY9m2f4sg,"Terimakasih bang,udah di bahas mesti selalu jelasin ke netijen yg udah kemakan hoax ttg kasus seungri",id,"Thank you for a bang, youth in the bahas must always be cleared to the netijen who used a hoax ttg case","Thank bang , youth bahas must always cleared netijen used hoax ttg case","thank bang , youth bahas must always clear netijen use hoax ttg case"
I can't bear looking at their faces,2024-05-23 00:00:00+00:00,2yGawLI4AQo,I can't bear looking at their faces,en,I can't bear looking at their faces,I ca n't bear looking faces,I can not bear looking face
I want this too. BB concert and scream loud,2023-01-01 00:00:00+00:00,uQ9h_g1FWc4,I want this too. BB concert and scream loud,en,I want this too. BB concert and scream loud,I want . BB concert scream loud,I want . BB concert scream loud
Làm nhớ đến ông 5 củ nào đó,2024-05-24 00:00:00+00:00,5neXZDble8o,Làm nhớ đến ông 5 củ nào đó,en,Làm nhớ đến ông 5 củ nào đó,Làm nhớ đến ông 5 củ nào đó,Làm nhớ đến ông 5 củ nào đó
Still can’t believe this happened so disappointed,2019-03-16 00:00:00+00:00,Rr9AjcF0jZw,Still can’t believe this happened so disappointed,en,Still can’t believe this happened so disappointed,Still ’ believe happened disappointed,still ' believe happen disappointed
I don't think people would like it if Seungri came back.  It would be a better business decision if they came out as 4.,2019-06-08 00:00:00+00:00,czY-QzsueLU,I don't think people would like it if Seungri came back.  It would be a better business decision if they came out as 4.,en,I don't think people would like it if Seungri came back.  It would be a better business decision if they came out as 4.,I n't think people would like Seungri came back . It would better business decision came 4 .,I not think people would like Seungri come back . it would better business decision come 4 .
"Estoy muy abrumada sobre el caso de Seungri, pero lo mejor es que pague la condena por sus actos",2019-03-14 00:00:00+00:00,g6M0YEVLgxc,"Estoy muy abrumada sobre el caso de Seungri, pero lo mejor es que pague la condena por sus actos",es,"I'm very overwhelmed about Seungri's case, but the best thing is that I pay the sentence for your actions","I 'm overwhelmed Seungri 's case , best thing I pay sentence actions","I ' m overwhelmed Seungri 's case , good thing I pay sentence action"
"You're one of the very few youtubers who reacts to Seungri. Thank you for that! He deserves love and support... I really hope that by the time he gets out of prison (in February) I will finish making a video about his whole situation so that people don't accuse him without knowing all the evidence. I believe that putting an innocent person in jail is no less a bad thing than not putting a guilty person in jail. I feel bad every time I remember how he said that he was not talented unlike the rest of the group and therefore he has to work much more and learn new things. In fact, to be honest, when I created the guide about BigBang, Seungri was the only member about whom there was as much information (his talents, skills, activities, etc.) as none of the other members (even GD) have. I really hope that society will accept him not too cruelly :((I'm really waiting for you to watch ""BigBang The Beginning"". This is a very interesting documentary about how they fought to make their debut. There are a lot of interesting, funny, sad and touching things there. You will learn a lot about their personalities)))",2022-12-01 00:00:00+00:00,GjYGklXshvc,"You're one of the very few youtubers who reacts to Seungri. Thank you for that! He deserves love and support... I really hope that by the time he gets out of prison (in February) I will finish making a video about his whole situation so that people don't accuse him without knowing all the evidence. I believe that putting an innocent person in jail is no less a bad thing than not putting a guilty person in jail. I feel bad every time I remember how he said that he was not talented unlike the rest of the group and therefore he has to work much more and learn new things. In fact, to be honest, when I created the guide about BigBang, Seungri was the only member about whom there was as much information (his talents, skills, activities, etc.) as none of the other members (even GD) have. I really hope that society will accept him not too cruelly :((I'm really waiting for you to watch ""BigBang The Beginning"". This is a very interesting documentary about how they fought to make their debut. There are a lot of interesting, funny, sad and touching things there. You will learn a lot about their personalities)))",en,"You're one of the very few youtubers who reacts to Seungri. Thank you for that! He deserves love and support... I really hope that by the time he gets out of prison (in February) I will finish making a video about his whole situation so that people don't accuse him without knowing all the evidence. I believe that putting an innocent person in jail is no less a bad thing than not putting a guilty person in jail. I feel bad every time I remember how he said that he was not talented unlike the rest of the group and therefore he has to work much more and learn new things. In fact, to be honest, when I created the guide about BigBang, Seungri was the only member about whom there was as much information (his talents, skills, activities, etc.) as none of the other members (even GD) have. I really hope that society will accept him not too cruelly :((I'm really waiting for you to watch ""BigBang The Beginning"". This is a very interesting documentary about how they fought to make their debut. There are a lot of interesting, funny, sad and touching things there. You will learn a lot about their personalities)))","You 're one youtubers reacts Seungri . Thank ! He deserves love support ... I really hope time gets prison ( February ) I finish making video whole situation people n't accuse without knowing evidence . I believe putting innocent person jail less bad thing putting guilty person jail . I feel bad every time I remember said talented unlike rest group therefore work much learn new things . In fact , honest , I created guide BigBang , Seungri member much information ( talents , skills , activities , etc . ) none members ( even GD ) . I really hope society accept cruelly : ( ( I 'm really waiting watch `` BigBang The Beginning '' . This interesting documentary fought make debut . There lot interesting , funny , sad touching things . You learn lot personalities ) ) )","you be one youtuber react Seungri . thank ! he deserve love support ... I really hope time get prison ( February ) I finish make video whole situation people not accuse without know evidence . I believe put innocent person jail less bad thing put guilty person jail . I feel bad every time I remember say talented unlike rest group therefore work much learn new thing . in fact , honest , I create guide BigBang , seungri member much information ( talent , skill , activity , etc . ) none member ( even GD ) . I really hope society accept cruelly : ( ( I ' m really wait watch ` ` BigBang the beginning '' . this interesting documentary fight make debut . there lot interesting , funny , sad touching thing . you learn lot personality ) ) )"
"Ehm.. they've maintained their group for 13 years and still counting. I know after the rest 4 off from military, GD and members will make fabulous come back. I have faith on it.",2019-06-12 00:00:00+00:00,czY-QzsueLU,"Ehm.. they've maintained their group for 13 years and still counting. I know after the rest 4 off from military, GD and members will make fabulous come back. I have faith on it.",en,"Ehm.. they've maintained their group for 13 years and still counting. I know after the rest 4 off from military, GD and members will make fabulous come back. I have faith on it.","Ehm .. 've maintained group 13 years still counting . I know rest 4 military , GD members make fabulous come back . I faith .","ehm .. ' ve maintain group 13 year still count . I know rest 4 military , GD member make fabulous come back . I faith ."
인터뷰로 한국 남자 수준 박제 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ나라 망신 다 시키네,2024-05-20 00:00:00+00:00,YCV_b1Nx5BA,인터뷰로 한국 남자 수준 박제 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ나라 망신 다 시키네,ko,    Skills,Skills,skill
I think how this says so much about his character...,2022-03-09 00:00:00+00:00,R0aXXFE-7ZE,I think how this says so much about his character...,en,I think how this says so much about his character...,I think says much character ...,I think say much character ...
They keep promise for fan,2022-04-09 00:00:00+00:00,hTTLwWBzxlQ,They keep promise for fan,en,They keep promise for fan,They keep promise fan,they keep promise fan
"First of all, thank you for not excluding him from your Bigbang reactions. And secondly, his nickname is ""panda"" because of his dark circles back in the day, so in Where r u from, he was embracing the nickname fans give him. His outfits are all black and white,.Being the extra person he is, he has to bring the bamboo stick into the MV =)) I love him so much!",2022-06-10 00:00:00+00:00,iGQmP5h-xa8,"First of all, thank you for not excluding him from your Bigbang reactions. And secondly, his nickname is ""panda"" because of his dark circles back in the day, so in Where r u from, he was embracing the nickname fans give him. His outfits are all black and white,.Being the extra person he is, he has to bring the bamboo stick into the MV =)) I love him so much!",en,"First of all, thank you for not excluding him from your Bigbang reactions. And secondly, his nickname is ""panda"" because of his dark circles back in the day, so in Where r u from, he was embracing the nickname fans give him. His outfits are all black and white,.Being the extra person he is, he has to bring the bamboo stick into the MV =)) I love him so much!","First , thank excluding Bigbang reactions . And secondly , nickname `` panda '' dark circles back day , Where r u , embracing nickname fans give . His outfits black white , .Being extra person , bring bamboo stick MV = ) ) I love much !","first , thank exclude Bigbang reaction . and secondly , nickname ` ` panda '' dark circle back day , where r u , embrace nickname fan give . his outfits black white , .bee extra person , bring bamboo stick MV = ) ) I love much !"
Hey can u study the unsolved case of murder of arushi talwar !,2020-12-16 00:00:00+00:00,T6dWyZXeWIg,Hey can u study the unsolved case of murder of arushi talwar !,en,Hey can u study the unsolved case of murder of arushi talwar !,Hey u study unsolved case murder arushi talwar !,hey u study unsolved case murder arushi talwar !
"Tenho 66 anos e nunca idolatria nenhum artista na minha vida. Somente Deus Pai Criador dos céus, mar e Terra.  Tenho minhas preferências e claro, mas nada além de admirar a arte qual executam é ficam até bilionários, não vejo motivo para tanto.  Ex. Um pedreiro e um artista ao meu ver tem o mesmo valor, ou melhor um pedreiro é mais importante por construir os estabelecimentos a qual moramos e trabalhamos.
Infelizmente hoje não existe mais na maioria das casas o que chamamos de família, no seu mais puro conceito, dessa forma os jovens estão totalmente desajustados e a procura de um afeto que só está dentro de suas próprias imaginação e desejos.  
O Mundo dos ídolos não importa de que país seja, tem em grande parte o papel da formação da prostituição, da violência e da violação íntima de jovens. 
O submundo Asiático são os mais violentos seja por meio de Idool ou da Máfia.
Tudo acontece por termos hoje, uma juventude que busca alucinadamente valores não no trabalho árduo para vencer na vida.  Principalmente para as mulheres, é como uma maneira mais fácil de subir na vida, vida está que pode ser aniquilada de várias formas e sem muitas vezes retorno.
Não gosto, não sigo Idool e K- Poop, nem sei quem são.  Qdo vcs comentam é tbem exaltam todos eles, faço questão de não ver e ouvir.
Me desculpem mas, depois que a grande mídia digital para adquirir cada vez mais seguidores, faz com que tudo pareça um conto de fadas. 
Nunca se sabe o que está atrás de um rosto bonito ou da fama.",2024-05-25 00:00:00+00:00,qdZifibZX5k,"Tenho 66 anos e nunca idolatria nenhum artista na minha vida. Somente Deus Pai Criador dos céus, mar e Terra.  Tenho minhas preferências e claro, mas nada além de admirar a arte qual executam é ficam até bilionários, não vejo motivo para tanto.  Ex. Um pedreiro e um artista ao meu ver tem o mesmo valor, ou melhor um pedreiro é mais importante por construir os estabelecimentos a qual moramos e trabalhamos.
Infelizmente hoje não existe mais na maioria das casas o que chamamos de família, no seu mais puro conceito, dessa forma os jovens estão totalmente desajustados e a procura de um afeto que só está dentro de suas próprias imaginação e desejos.  
O Mundo dos ídolos não importa de que país seja, tem em grande parte o papel da formação da prostituição, da violência e da violação íntima de jovens. 
O submundo Asiático são os mais violentos seja por meio de Idool ou da Máfia.
Tudo acontece por termos hoje, uma juventude que busca alucinadamente valores não no trabalho árduo para vencer na vida.  Principalmente para as mulheres, é como uma maneira mais fácil de subir na vida, vida está que pode ser aniquilada de várias formas e sem muitas vezes retorno.
Não gosto, não sigo Idool e K- Poop, nem sei quem são.  Qdo vcs comentam é tbem exaltam todos eles, faço questão de não ver e ouvir.
Me desculpem mas, depois que a grande mídia digital para adquirir cada vez mais seguidores, faz com que tudo pareça um conto de fadas. 
Nunca se sabe o que está atrás de um rosto bonito ou da fama.",pt,"I'm 66 years old and I never idolize any artist in my life. Only God Father Creator of heaven, sea and earth. I have my preferences and of course, but nothing but admiring the art they perform is stay up to billionaires, I see no reason for that. Ex. A quarry and an artist in my view has the same value, or better a quarry is more important for building the establishments we live and work with.
Unfortunately today there is no more in most houses what we call family, in its purest concept, so young people are totally unfit and the search for an affection that is only within their own imagination and desires.
The world of idols no matter what country it is, has largely the role of the formation of prostitution, violence and intimate rape of young people.
The Asian underworld is the most violent by means of Idool or the Mafia.
Everything happens because we have today, a youth that seeks reluctantly values not in hard work to win in life. Especially for women, it is as an easier way to climb in life, life is that can be annihilated in various ways and without often returning.
I don't like it, I don't follow Idool and K- Poop, I don't even know who they are. Qdo vcs comment is tbem exalt all of them, I make sure not to see and hear.
I'm sorry, but after the big digital media to acquire more and more followers, it makes everything look like a fairy tale.
You never know what's behind a beautiful face or fame.","I 'm 66 years old I never idolize artist life . Only God Father Creator heaven , sea earth . I preferences course , nothing admiring art perform stay billionaires , I see reason . Ex . A quarry artist view value , better quarry important building establishments live work . Unfortunately today houses call family , purest concept , young people totally unfit search affection within imagination desires . The world idols matter country , largely role formation prostitution , violence intimate rape young people . The Asian underworld violent means Idool Mafia . Everything happens today , youth seeks reluctantly values hard work win life . Especially women , easier way climb life , life annihilated various ways without often returning . I n't like , I n't follow Idool K- Poop , I n't even know . Qdo vcs comment tbem exalt , I make sure see hear . I 'm sorry , big digital media acquire followers , makes everything look like fairy tale . You never know 's behind beautiful face fame .","I ' m 66 year old I never idolize artist life . only God Father Creator heaven , sea earth . I preference course , nothing admire art perform stay billionaire , I see reason . ex . a quarry artist view value , well quarry important building establishment live work . unfortunately today house call family , pure concept , young people totally unfit search affection within imagination desire . the world idol matter country , largely role formation prostitution , violence intimate rape young people . the asian underworld violent mean Idool Mafia . everything happen today , youth seek reluctantly value hard work win life . especially woman , easy way climb life , life annihilate various way without often return . I not like , I not follow Idool K- Poop , I not even know . Qdo vcs comment tbem exalt , I make sure see hear . I ' m sorry , big digital medium acquire follower , make everything look like fairy tale . you never know be behind beautiful face fame ."
No wonder.. Seungri always know alot of girls.,2020-03-04 00:00:00+00:00,czY-QzsueLU,No wonder.. Seungri always know alot of girls.,en,No wonder.. Seungri always know alot of girls.,No wonder .. Seungri always know alot girls .,no wonder .. seungri always know alot girl .
"See you in our FLOWER ROAD 💐
#BIGBANGisFIVE #OT5",2020-07-10 00:00:00+00:00,-ODTMpRFS5A,"See you in our FLOWER ROAD 
#BIGBANGisFIVE #OT5",en,"See you in our FLOWER ROAD 
#BIGBANGisFIVE #OT5",See FLOWER ROAD # BIGBANGisFIVE # OT5,see FLOWER road # bigbangisfive # OT5
Gracias por la información.siempre estás guapa pero hoy tienes la belleza alborotada.,2021-08-14 00:00:00+00:00,vZTy6Z_O8Gs,Gracias por la información.siempre estás guapa pero hoy tienes la belleza alborotada.,es,"Thanks for the information, you're always beautiful, but today you have the troubled beauty.","Thanks information , 're always beautiful , today troubled beauty .","thank information , be always beautiful , today troubled beauty ."
"entah kenapa kalo tiap mv nya si JJY muncul, saya REPORT j sebagai pelaku pelecehan seksual. biar dia gak bisa ngembangin usaha/bisnis nya dari royalti MV nya abis bebas",2024-05-27 00:00:00+00:00,PIehHiZZhyw,"entah kenapa kalo tiap mv nya si JJY muncul, saya REPORT j sebagai pelaku pelecehan seksual. biar dia gak bisa ngembangin usaha/bisnis nya dari royalti MV nya abis bebas",id,"entah why the broth every mv his si JJY appears, I REPORT j as a sexual harasser. he was gak couldn’t be his business/business from his royalty MV free of charge","entah broth every mv si JJY appears , I REPORT j sexual harasser . gak ’ business/business royalty MV free charge","entah broth every mv si JJY appear , I report j sexual harasser . gak ' business / business royalty MV free charge"
Memang kliatan mles gliran d coachella smgt bgtt kyk org stres😅,2023-06-13 00:00:00+00:00,iN8OGR_Mj70,Memang kliatan mles gliran d coachella smgt bgtt kyk org stres,sv,Memang climatic mles gliran d coachella smgt kyk org stres,Memang climatic mles gliran coachella smgt kyk org stres,Memang climatic mle gliran coachella smgt kyk org stre
Most importnting its becuz sungri still like kid who need care from his hyungs. After 4 of them got in military no one can take care sungri....,2020-03-12 00:00:00+00:00,Rr9AjcF0jZw,Most importnting its becuz sungri still like kid who need care from his hyungs. After 4 of them got in military no one can take care sungri....,en,Most importnting its becuz sungri still like kid who need care from his hyungs. After 4 of them got in military no one can take care sungri....,Most importnting becuz sungri still like kid need care hyungs . After 4 got military one take care sungri ....,Most importnte becuz sungri still like kid need care hyung . after 4 get military one take care sungri ....
"Mundinho obscuro... nada tão lindo ,romântico e sensível como mostram as novelas. (é preciso saber a diferença da realidade) ✌🤐",2024-05-24 00:00:00+00:00,1JwaE5KDtG4,"Mundinho obscuro... nada tão lindo ,romântico e sensível como mostram as novelas. (é preciso saber a diferença da realidade) ",pt,"Dark crowd... nothing so beautiful, romantic and sensitive as the novels show. (it is necessary to know the difference of reality)","Dark crowd ... nothing beautiful , romantic sensitive novels show . ( necessary know difference reality )","dark crowd ... nothing beautiful , romantic sensitive novel show . ( necessary know difference reality )"
이 곡이 바로 진정한 숨듣명...,2024-03-21 00:00:00+00:00,Q7sHwg2Z21U,이 곡이 바로 진정한 숨듣명...,ko,This song is true...,This song true ...,this song true ...
4:33. AM I THE ONLY ONE WHO NOTICED THIS GIRL HAS JISOO’s VOICE ???,2019-04-17 00:00:00+00:00,YCV_b1Nx5BA,4:33. AM I THE ONLY ONE WHO NOTICED THIS GIRL HAS JISOO’s VOICE ???,en,4:33. AM I THE ONLY ONE WHO NOTICED THIS GIRL HAS JISOO’s VOICE ???,4:33 . AM I THE ONLY ONE WHO NOTICED THIS GIRL HAS JISOO ’ VOICE ? ? ?,4:33 . be I the only one who NOTICED this GIRL have JISOO ' voice ? ? ?
Anh ơi để nhầm ảnh Choi Jong Hyun với Jong Hyun khác rồi á,2024-05-28 00:00:00+00:00,chokSQS5AB8,Anh ơi để nhầm ảnh Choi Jong Hyun với Jong Hyun khác rồi á,en,Anh ơi để nhầm ảnh Choi Jong Hyun với Jong Hyun khác rồi á,Anh ơi để nhầm ảnh Choi Jong Hyun với Jong Hyun khác rồi á,anh ơi để nhầm ảnh Choi Jong Hyun với Jong Hyun khác rồi á
How come Seungri with so many allegations was only charged by 18months in prison? Bruh the laws are so awful 💀,2024-05-26 00:00:00+00:00,9EEp1q_iMYc,How come Seungri with so many allegations was only charged by 18months in prison? Bruh the laws are so awful ,en,How come Seungri with so many allegations was only charged by 18months in prison? Bruh the laws are so awful ,How come Seungri many allegations charged 18months prison ? Bruh laws awful,how come seungri many allegation charge 18months prison ? bruh law awful
his friends r 10000iq but its soo sad that he left I am a V.I.P :(,2020-07-26 00:00:00+00:00,tTdGYVqHQAY,his friends r 10000iq but its soo sad that he left I am a V.I.P :(,en,his friends r 10000iq but its soo sad that he left I am a V.I.P :(,friends r 10000iq soo sad left I V.I.P : (,friend r 10000iq soo sad leave I V.I.P : (
其實Top也沒好到哪裡去！只是勝利玩得真的太大了🔥,2019-05-09 00:00:00+00:00,5oYDsyPHTZg,其實Top也沒好到哪裡去！只是勝利玩得真的太大了,zh,It's not like Top is going anywhere! It's just too much to win,It 's like Top going anywhere ! It 's much win,it be like Top go anywhere ! it be much win
"Eu gostava muito de assistir os MVs do BigBang, mas minha filha não consegue porque tem ranço do Seungri, agora que sei dos detalhes dessa história peguei nojo também.",2024-05-22 00:00:00+00:00,1JwaE5KDtG4,"Eu gostava muito de assistir os MVs do BigBang, mas minha filha não consegue porque tem ranço do Seungri, agora que sei dos detalhes dessa história peguei nojo também.",pt,"I'd love to watch BigBang's MVs, but my daughter can't because she's got Seungri's rank, now that I know the details of that story I got sick too.","I 'd love watch BigBang 's MVs , daughter ca n't 's got Seungri 's rank , I know details story I got sick .","I would love watch BigBang 's MVs , daughter can not be get Seungri 's rank , I know detail story I get sick ."
긍정적인 반응을 바라고 보고있었는데 역시나 ㅋㅋㅋ 그 예상을 벗어나지않는 반응이 수두룩하구나. 이런 동영상은 멀리 해외로 알려야죠^^ 그래야지 한국남자에 대한 로망 안갖겠지 가해자를 옹호하고 2차 가해를 하기 바쁜나라니까,2019-03-15 00:00:00+00:00,YCV_b1Nx5BA,긍정적인 반응을 바라고 보고있었는데 역시나 ㅋㅋㅋ 그 예상을 벗어나지않는 반응이 수두룩하구나. 이런 동영상은 멀리 해외로 알려야죠^^ 그래야지 한국남자에 대한 로망 안갖겠지 가해자를 옹호하고 2차 가해를 하기 바쁜나라니까,ko,"I've seen positive reactions, but I'm gonna do it It's a good idea for you. This video is far from abroad. If you have any questions, please feel free to contact us","I 've seen positive reactions , I 'm gon na It 's good idea . This video far abroad . If questions , please feel free contact us","I ' ve see positive reaction , I ' m go to it be good idea . this video far abroad . if question , please feel free contact we"
Rose predicted ittt,2023-11-29 00:00:00+00:00,R0aXXFE-7ZE,Rose predicted ittt,en,Rose predicted ittt,Rose predicted ittt,Rose predict ittt
May cho thg này ở Hàn chứ ở trung thì xin vĩnh biệt cụ,2022-01-27 00:00:00+00:00,SPZQ5b1JvfQ,May cho thg này ở Hàn chứ ở trung thì xin vĩnh biệt cụ,en,May cho thg này ở Hàn chứ ở trung thì xin vĩnh biệt cụ,May cho thg này ở Hàn chứ ở trung thì xin vĩnh biệt cụ,may cho thg này ở Hàn chứ ở trung thì xin vĩnh biệt cụ
Fake,2020-07-05 00:00:00+00:00,HeOACvAxeZs,Fake,en,Fake,Fake,fake
"Wow, didn't expect a video on this",2020-12-12 00:00:00+00:00,T6dWyZXeWIg,"Wow, didn't expect a video on this",en,"Wow, didn't expect a video on this","Wow , n't expect video","wow , not expect video"
"Posso dormir tranquila sabendo que nunca defendi o Seungri dizendo que ele era uma vítima da imprensa Coreana, muitas fã surtaram e atacaram qualquer um que no mínimo fosse sensato e dissesse que não atacaria mas também não defenderia ele",2024-05-22 00:00:00+00:00,qdZifibZX5k,"Posso dormir tranquila sabendo que nunca defendi o Seungri dizendo que ele era uma vítima da imprensa Coreana, muitas fã surtaram e atacaram qualquer um que no mínimo fosse sensato e dissesse que não atacaria mas também não defenderia ele",pt,"I can sleep quietly knowing I never defended Seungri saying he was a victim of the Korean press, many fans have beaten up and attacked anyone who was at least wise and said he would not attack but would not defend him either","I sleep quietly knowing I never defended Seungri saying victim Korean press , many fans beaten attacked anyone least wise said would attack would defend either","I sleep quietly know I never defend Seungri say victim korean press , many fan beat attack anyone least wise say would attack would defend either"
Kalo setingkat twice atau blackpink sih udah abis abisan😂,2024-05-23 00:00:00+00:00,Zu2YlWeOYmc,Kalo setingkat twice atau blackpink sih udah abis abisan,id,Kalo setingkat and blackpink sih udah abis abisan,Kalo setingkat blackpink sih udah abis abisan,Kalo setingkat blackpink sih udah abis abisan
this documentary came out just as jjy got released and is planning a comeback I think the timing is good,2024-05-27 00:00:00+00:00,9EEp1q_iMYc,this documentary came out just as jjy got released and is planning a comeback I think the timing is good,en,this documentary came out just as jjy got released and is planning a comeback I think the timing is good,documentary came jjy got released planning comeback I think timing good,documentary come jjy get release planning comeback I think time good
they warned him... so funny how things works 🤔😑,2019-04-21 00:00:00+00:00,Rr9AjcF0jZw,they warned him... so funny how things works ,en,they warned him... so funny how things works ,warned ... funny things works,warn ... funny thing work
"Sym
벙",2021-04-04 00:00:00+00:00,Q0MoQzLzqvk,"Sym
벙",pl,"Sym
벙",Sym 벙,Sym 벙
Amiga me da igual,2019-03-18 00:00:00+00:00,g6M0YEVLgxc,Amiga me da igual,es,Amiga doesn't care,Amiga n't care,amiga not care
这哥挺好玩的，只可惜现在是逆全球化吧，这个主题浪费了😂,2023-06-17 00:00:00+00:00,m2MtOeuCgh8,这哥挺好玩的，只可惜现在是逆全球化吧，这个主题浪费了,zh,"This guy's funny, but now it's anti-globalization","This guy 's funny , 's anti-globalization","this guy be funny , 's anti - globalization"
Boy wiliam salah kritik orang 😂😂,2024-04-15 00:00:00+00:00,iN8OGR_Mj70,Boy wiliam salah kritik orang ,id,Boy wiliam wrong criticism of people,Boy wiliam wrong criticism people,boy wiliam wrong criticism people
"I miss them, just miss 😖😖😭😭😭 im vip since 2009 year. To hard waiting them, but we will wait always and forever👑💛💛💛",2023-06-23 00:00:00+00:00,hTTLwWBzxlQ,"I miss them, just miss  im vip since 2009 year. To hard waiting them, but we will wait always and forever",en,"I miss them, just miss  im vip since 2009 year. To hard waiting them, but we will wait always and forever","I miss , miss im vip since 2009 year . To hard waiting , wait always forever","I miss , miss I m vip since 2009 year . to hard waiting , wait always forever"
What he would do now...,2019-03-16 00:00:00+00:00,AZk7RBpeaHM,What he would do now...,en,What he would do now...,What would ...,what would ...
